PRT_ID,SALES_PRICE
P05996,6821251.303063143
P09294,13692862.968388187
P03807,7813378.852721018
P00539,12282771.675782364
P01448,7162218.09488032
P06667,13293434.985304981
P09803,13829641.852273444
P05568,21460409.79197191
P05102,12674150.359245494
P04556,7208173.947977874
P03782,9606709.102760471
P02221,12577205.640524713
P03299,11479525.620055623
P08959,8566766.73511665
P09377,7413336.037523387
P09924,8823883.254733242
P01394,8691606.447836094
P07407,10231560.517856207
P08729,13559875.89624162
P09542,9524499.103355449
P01853,9279383.5010972
P08051,11057134.511948224
P08271,7352573.841760348
P02055,8623597.661969738
P01462,7999641.041526657
P03664,12794211.617040515
P02370,7600727.703395791
P07852,18102140.10075316
P06278,15553868.141942307
P08467,12277383.034847252
P00992,13110537.450551568
P05942,7516489.616182419
P03989,7299527.894245331
P07060,11426820.440375678
P00285,13363401.522174109
P04718,5691887.439399927
P00956,12839715.511843428
P07903,12559215.506018475
P09166,8289003.061075911
P04499,8264360.349269548
P04015,3285878.9269102365
P09376,8463380.589139152
P00012,6551298.224338115
P08995,11820552.595853318
P02323,10309001.172303282
P01359,7706858.904574997
P07090,13108178.7864957
P08475,13095217.256091295
P02125,13948152.335650403
P07915,17725140.956056666
P06139,8901869.899842301
P03073,5775307.562423911
P08441,9358123.427617963
P01565,8580765.904288482
P00791,8737731.321230708
P06751,11992410.530948134
P04554,13971279.946169972
P03839,8225513.714054173
P01409,9598157.387386704
P07431,12282224.466512019
P03489,13126462.608748302
P06387,9257204.94400148
P06779,9164392.743786883
P01889,7642257.185148856
P06149,12909193.504595786
P08873,11348211.93621033
P03425,16022140.15901301
P09806,8918240.229601651
P04345,12529633.962474832
P04042,13119763.381614275
P09781,7543538.940810699
P00254,12864384.872645663
P09091,15559490.264991522
P04061,11508423.385274047
P06644,6564605.298483245
P08517,12672680.79598564
P07492,10077898.028761696
P04452,13494974.66355294
P08144,7934194.530127248
P02854,8288949.37382042
P04835,10147266.955820892
P00455,12610533.38726864
P07396,7967515.940136016
P07777,6349796.782884588
P05423,8772706.876531724
P05820,15628174.997570232
P01309,6841563.801145048
P04343,5088693.268539118
