PRT_ID,SALES_PRICE
P05996,7812601.0
P09294,14847268.0
P03807,8132226.5
P00539,14105519.0
P01448,6981101.0
P06667,13954902.0
P09803,14829922.0
P05568,21806062.0
P05102,14906025.0
P04556,5633757.0
P03782,9013425.0
P02221,10827233.0
P03299,11546307.0
P08959,8975837.0
P09377,8085401.5
P09924,9921771.0
P01394,8264291.0
P07407,11753381.0
P08729,12717369.0
P09542,11645213.0
P01853,9998025.0
P08051,13006307.0
P08271,5784447.5
P02055,9346043.0
P01462,6605685.5
P03664,13652928.0
P02370,6502571.5
P07852,19735986.0
P06278,15702889.0
P08467,13510362.0
P00992,11141946.0
P05942,7150999.5
P03989,6667427.5
P07060,10699231.0
P00285,13912155.0
P04718,5675353.0
P00956,11605371.0
P07903,11319202.0
P09166,7922041.0
P04499,7223178.0
P04015,3656529.0
P09376,9472028.0
P00012,7149175.0
P08995,13904626.0
P02323,9575735.0
P01359,9136369.0
P07090,14400970.0
P08475,14062297.0
P02125,14438847.0
P07915,19009008.0
P06139,8675793.0
P03073,5289681.5
P08441,10278294.0
P01565,9498581.0
P00791,9345989.0
P06751,11974924.0
P04554,13602239.0
P03839,6966783.0
P01409,11134069.0
P07431,12658768.0
P03489,11892911.0
P06387,8654430.0
P06779,8493139.0
P01889,8351794.0
P06149,13275993.0
P08873,13523414.0
P03425,15091359.0
P09806,9082443.0
P04345,11206167.0
P04042,14002510.0
P09781,7856998.5
P00254,15070505.0
P09091,12933773.0
P04061,9517331.0
P06644,6345684.0
P08517,12886747.0
P07492,11009813.0
P04452,16220133.0
P08144,9500315.0
P02854,5708587.5
P04835,8792959.0
P00455,13123040.0
P07396,7677365.0
P07777,7241287.0
P05423,9553000.0
P05820,18549744.0
P01309,8405284.0
P04343,5796903.0
P05167,6909189.5
P03621,7215261.5
P01131,19395458.0
P04092,5547481.0
P07035,8375317.0
P04257,11111589.0
P00928,14765576.0
P09597,9372835.0
P09744,15384401.0
P08951,7258228.0
P03143,7886697.0
P00062,6466178.5
P06406,10278019.0
P07835,8355630.0
P00485,8615474.0
P09288,12755848.0
P04002,8989380.0
P04853,10012931.0
P03361,10028511.0
P05281,8320010.5
P06568,12019549.0
P07595,7927818.5
P02829,18537608.0
P03226,7405263.0
P03068,15233237.0
P04223,7686786.0
P01682,6781467.0
P01342,6967971.0
P01954,11094102.0
P03346,11880267.0
P06090,7159548.0
P08664,9141469.0
P02701,12173066.0
P03668,13283400.0
P05791,7294827.0
P04571,7393831.5
P04306,11057269.0
P06965,11381845.0
P00968,11753615.0
P07351,10516887.0
P07627,14190873.0
P02263,5434491.0
P00900,8063622.0
P05532,9869699.0
P02420,11122457.0
P02948,10694824.0
P02449,8979868.0
P04555,9529814.0
P08461,16532645.0
P03817,10900741.0
P01194,14848102.0
P00096,14385529.0
P06955,10233888.0
P07375,9928159.0
P01198,9923354.0
P06393,6991678.0
P00973,20217978.0
P08413,16102025.0
P08452,10963401.0
P05808,18360940.0
P01732,9749498.0
P03265,8573349.0
P09269,14943501.0
P02005,12451332.0
P09884,9053044.0
P03077,10142977.0
P02144,12077851.0
P01972,6219182.5
P03272,20164924.0
P04748,12651987.0
P09255,14812762.0
P02072,11973082.0
P05111,18711054.0
P05943,12242787.0
