PRT_ID,SALES_PRICE
P05996,6383179.758064516
P09294,12409154.083503054
P03807,10245517.327777777
P00539,12409154.083503054
P01448,5823156.131147541
P06667,14434944.186691312
P09803,14350534.214285715
P05568,20385464.97191011
P05102,12659866.698181817
P04556,5893596.671270718
P03782,10743309.815361891
P02221,12460592.25391499
P03299,12033404.156142365
P08959,7281830.048262549
P09377,7386062.352941177
P09924,10561915.170575693
P01394,8128680.024038462
P07407,9777802.653452685
P08729,11638890.460012026
P09542,11357136.396028038
P01853,8085121.017052375
P08051,12194889.349112427
P08271,5677711.92139738
P02055,9434082.146892656
P01462,7075770.780821918
P03664,13554376.023255814
P02370,7089581.735294118
P07852,19181130.77267637
P06278,16385258.387815751
P08467,12273164.769137302
P00992,12594958.74613003
P05942,7059807.685950413
P03989,6798780.241935484
P07060,10508704.775993237
P00285,13220975.802707931
P04718,7605376.881028939
P00956,10837224.46991404
P07903,12523572.635327635
P09166,8613240.680327868
P04499,7937616.247600768
P04015,4600188.717948718
P09376,9777802.653452685
P00012,6167676.828046745
P08995,11823181.92427386
P02323,9496138.302238805
P01359,8114620.9306930695
P07090,13007349.671140939
P08475,12424009.748031495
P02125,13723254.513422819
P07915,18036672.98277425
P06139,8128680.024038462
P03073,6799311.347826087
P08441,8357925.83143508
P01565,8836945.373616235
P00791,8126860.041666667
P06751,13064795.960854093
P04554,12884499.080920823
P03839,8479991.566091955
P01409,11018416.720914127
P07431,11817529.704797048
P03489,12844655.597210113
P06387,8082016.092896175
P06779,8095027.242524917
P01889,9556835.993690852
P06149,12251109.15579432
P08873,11145212.758842444
P03425,13554376.023255814
P09806,9909251.291574279
P04345,11850936.71961326
P04042,11272522.091666667
P09781,7605376.881028939
P00254,12164561.660125589
P09091,13222076.232876712
P04061,11436062.871333964
P06644,7075770.780821918
P08517,12318975.527251184
P07492,10837224.46991404
P04452,12816065.367907802
P08144,8085121.017052375
P02854,7591004.373333333
P04835,8656232.090981644
P00455,12766752.529510962
P07396,6998587.9357798165
P07777,7281830.048262549
P05423,9434082.146892656
P05820,17229514.91810737
P01309,8114620.9306930695
P04343,6195993.636363637
P05167,8082016.092896175
P03621,7386062.352941177
P01131,19274753.404950958
P04092,5703878.545258621
P07035,9032185.92705167
P04257,11167246.593607306
P00928,13881449.275618374
P09597,9265087.564612325
P09744,13198794.054054054
P08951,6798780.241935484
P03143,8643037.529411765
P00062,6577046.2116991645
P06406,10118764.067702552
P07835,8082016.092896175
P00485,7386062.352941177
P09288,11976236.645673603
P04002,10501248.381201044
P04853,8082016.092896175
P03361,10508704.775993237
P05281,9434082.146892656
P06568,11373832.829268293
P07595,8128680.024038462
P02829,17914540.30075188
P03226,8126860.041666667
P03068,13007349.671140939
P04223,7089581.735294118
P01682,7434462.837837838
P01342,7089581.735294118
P01954,11373832.829268293
P03346,12689303.970588235
P06090,7706320.30927835
P08664,9729279.960629921
P02701,11851786.915995397
P03668,12424473.840277778
P05791,8702801.76300578
P04571,7038776.189516129
P04306,10118764.067702552
P06965,9028634.046242775
P00968,10183442.73076923
P07351,9028634.046242775
P07627,13862505.306709265
P02263,6167676.828046745
P00900,8114620.9306930695
P05532,10567799.467918623
P02420,11145212.758842444
P02948,11647198.96039604
P02449,10567799.467918623
P04555,9772954.23076923
P08461,16167990.492369186
P03817,11823181.92427386
P01194,13866355.289855072
P00096,12424473.840277778
P06955,10342941.415882967
P07375,9032185.92705167
P01198,8976079.527272727
P06393,7075770.780821918
P00973,19533914.00481541
P08413,12774969.615812918
P08452,11207830.358263599
P05808,18315562.829499323
P01732,8656232.090981644
P03265,10556121.49068323
P09269,14701973.426430518
P02005,11638890.460012026
P09884,7925058.969155844
P03077,10850683.791273585
P02144,12053718.854625551
P01972,6508588.106060606
P03272,18036672.98277425
P04748,12594958.74613003
P09255,13558001.238361266
P02072,12660050.837610826
P05111,18457673.684210528
P05943,10802067.350746268
P04135,15355294.93939394
P03351,9716938.397129187
P02627,8126860.041666667
P02406,8836945.373616235
P05640,10508704.775993237
P09231,11819211.973458905
P06390,7386062.352941177
P08275,10086254.352360044
P00571,6798780.241935484
P03094,15315326.93452381
P02145,15040308.689982217
P01403,9467248.579027355
P00398,8540700.168855535
P05079,9434082.146892656
P08844,11328906.488222698
